timestamp,exchange,bid,ask,bid_vol,ask_vol
2025-07-25T07:34:18.463153,huobi,177.5856,177.6239,0.169,5.527
2025-07-25T07:34:18.463304,huobi,177.566,177.6186,5.13,1.491
2025-07-25T07:34:18.463413,huobi,177.5408,177.6128,5.527,1.484
2025-07-25T07:34:18.463518,huobi,177.5895,177.594,1.501,3.68
2025-07-25T07:34:18.463683,huobi,177.5181,177.58,5.13,3.68
2025-07-25T07:34:18.463837,huobi,177.5181,177.5731,5.13,3.68
2025-07-25T07:34:18.463919,huobi,177.5605,177.5692,1.563,3.68
2025-07-25T07:34:18.464173,huobi,177.5389,177.5494,1.5,1.453
2025-07-25T07:34:18.464307,huobi,177.5389,177.5494,1.5,5.13
2025-07-25T07:34:18.464412,huobi,177.5389,177.5493,1.5,3.68
2025-07-25T07:34:18.464520,huobi,177.5389,177.539,0.127,6.612
2025-07-25T07:34:18.464646,huobi,177.5389,177.539,0.127,10.292
2025-07-25T07:34:18.465035,huobi,177.5389,177.539,0.127,5.162
2025-07-25T07:34:18.465112,huobi,177.5389,177.539,0.127,1.482
2025-07-25T07:34:18.465161,huobi,177.5389,177.539,0.127,6.612
2025-07-25T07:34:18.465370,huobi,177.5389,177.5724,5.257,3.68
2025-07-25T07:34:18.465451,huobi,177.557,177.5824,5.13,3.68
2025-07-25T07:34:18.465580,huobi,177.546,177.5933,0.169,3.68
2025-07-25T07:34:18.698768,bitrue,176.94,176.97,89.135,121.729
2025-07-25T07:34:19.747976,bitrue,176.99,177.02,131.502,124.956
2025-07-25T07:34:20.129826,huobi,177.0838,177.0885,1.595,1.505
2025-07-25T07:34:20.134539,huobi,177.0653,177.1177,5.13,5.527
2025-07-25T07:34:20.325488,huobi,177.0883,177.0975,1.441,1.513
2025-07-25T07:34:20.525733,huobi,177.0937,177.1175,1.578,3.68
2025-07-25T07:34:20.627381,huobi,177.1001,177.1175,1.446,3.68
2025-07-25T07:34:20.731658,huobi,177.1047,177.1238,1.582,0.695
2025-07-25T07:34:20.793146,bitrue,177.02,177.07,102.043,101.177
2025-07-25T07:34:20.832368,huobi,177.0673,177.1238,3.68,5.825
2025-07-25T07:34:20.926150,huobi,177.0674,177.1238,5.13,5.825
2025-07-25T07:34:21.028422,huobi,177.0674,177.1085,5.13,1.588
2025-07-25T07:34:21.125177,huobi,177.0993,177.1085,1.526,1.588
2025-07-25T07:34:21.326454,huobi,177.0489,177.1085,3.68,5.13
2025-07-25T07:34:21.426276,huobi,177.0443,177.0916,5.13,3.68
2025-07-25T07:34:21.542827,huobi,177.0342,177.0916,5.13,3.68
2025-07-25T07:34:21.624718,huobi,177.0784,177.0916,1.44,3.68
2025-07-25T07:34:21.829435,huobi,177.0057,177.0725,5.13,6.712
2025-07-25T07:34:21.846601,bitrue,177.06,177.09,133.986,106.473
2025-07-25T07:34:21.927675,huobi,177.0144,177.0725,5.13,6.712
2025-07-25T07:34:22.029164,huobi,177.0267,177.0725,5.13,6.712
2025-07-25T07:34:22.124551,huobi,177.0188,177.0725,5.527,6.712
2025-07-25T07:34:22.225263,huobi,177.0209,177.0616,5.13,1.509
2025-07-25T07:34:22.328974,huobi,177.0209,177.0927,5.13,3.68
2025-07-25T07:34:22.525728,huobi,177.0548,177.0927,1.529,3.68
2025-07-25T07:34:22.625550,huobi,177.0548,177.064,1.529,1.503
2025-07-25T07:34:22.727336,huobi,177.0209,177.0634,5.13,3.68
2025-07-25T07:34:22.896201,bitrue,177.01,177.06,104.77,115.06
2025-07-25T07:34:22.924812,huobi,177.0548,177.0634,1.495,3.68
2025-07-25T07:34:23.425588,huobi,176.9979,177.0493,5.13,5.299
2025-07-25T07:34:23.527249,huobi,176.9867,177.0425,5.13,3.68
2025-07-25T07:34:23.628131,huobi,176.9867,177.0311,5.13,6.578
2025-07-25T07:34:23.727007,huobi,176.9762,177.0262,3.68,1.532
2025-07-25T07:34:23.827217,huobi,176.9658,177.0161,5.13,5.13
2025-07-25T07:34:23.941116,bitrue,176.99,177.06,131.502,115.06
2025-07-25T07:34:23.955509,huobi,176.9582,177.0053,5.13,1.52
2025-07-25T07:34:24.026964,huobi,176.9998,177.0374,1.451,3.68
2025-07-25T07:34:24.331504,huobi,176.9998,177.0054,1.451,6.914
2025-07-25T07:34:24.432959,huobi,176.9464,176.9869,5.13,6.651
2025-07-25T07:34:24.730452,huobi,176.9758,176.9945,1.455,3.68
2025-07-25T07:34:24.825424,huobi,176.9393,176.9945,3.0,3.68
2025-07-25T07:34:24.926016,huobi,176.9397,176.9945,5.13,3.68
2025-07-25T07:34:24.987878,bitrue,176.96,176.99,94.047,118.351
2025-07-25T07:34:25.025108,huobi,176.9394,176.9804,5.13,5.527
2025-07-25T07:34:25.124844,huobi,176.9678,176.9804,1.487,5.527
2025-07-25T07:34:25.327176,huobi,176.9393,176.9736,3.0,6.649
2025-07-25T07:34:25.525485,huobi,176.9673,176.9736,1.488,1.519
2025-07-25T07:34:25.724435,huobi,176.9414,176.9804,5.13,5.527
2025-07-25T07:34:26.027630,huobi,176.9658,176.975,1.511,1.542
2025-07-25T07:34:26.033712,bitrue,176.92,176.96,105.091,107.806
2025-07-25T07:34:26.329074,huobi,176.9756,177.0113,1.525,3.68
2025-07-25T07:34:26.428972,huobi,176.9766,177.0225,5.13,3.68
2025-07-25T07:34:26.529254,huobi,176.9954,177.0016,1.48,1.483
2025-07-25T07:34:26.629697,huobi,177.0055,177.0289,1.595,3.849
2025-07-25T07:34:26.727251,huobi,177.0125,177.0457,1.547,3.68
2025-07-25T07:34:26.826217,huobi,177.0125,177.0227,1.547,1.574
2025-07-25T07:34:26.926605,huobi,177.0125,177.0465,1.547,3.68
2025-07-25T07:34:27.027010,huobi,176.9716,177.0404,5.13,3.68
2025-07-25T07:34:27.084345,bitrue,176.92,176.99,105.091,112.428
2025-07-25T07:34:27.126050,huobi,176.9716,177.0115,5.13,1.573
2025-07-25T07:34:27.228124,huobi,176.9716,177.0165,5.13,5.527
2025-07-25T07:34:27.325558,huobi,176.9973,177.0165,1.597,5.527
2025-07-25T07:34:27.424480,huobi,177.0021,177.0165,1.554,5.527
2025-07-25T07:34:27.524182,huobi,177.0021,177.0132,1.554,1.547
2025-07-25T07:34:27.729744,huobi,176.9705,177.0132,0.169,5.13
2025-07-25T07:34:27.825714,huobi,176.9492,176.9959,5.13,1.525
2025-07-25T07:34:28.029836,huobi,176.9735,176.9736,1.574,1.583
2025-07-25T07:34:28.127496,huobi,176.9393,176.9598,3.0,1.475
2025-07-25T07:34:28.134922,bitrue,176.97,177.01,92.043,102.968
2025-07-25T07:34:28.228459,huobi,176.9393,176.9736,3.0,5.74
2025-07-25T07:34:28.328195,huobi,176.9539,176.9736,1.595,5.74
2025-07-25T07:34:28.436838,huobi,176.9539,176.9622,1.595,1.481
2025-07-25T07:34:28.526222,huobi,176.9393,176.9622,3.0,1.481
2025-07-25T07:34:28.625175,huobi,176.9428,176.9904,5.13,3.68
2025-07-25T07:34:28.726919,huobi,176.9566,176.9904,1.598,3.68
2025-07-25T07:34:28.826392,huobi,176.9566,176.9658,1.598,1.577
2025-07-25T07:34:29.142578,huobi,176.9393,176.961,3.0,1.459
2025-07-25T07:34:29.181312,bitrue,176.9,176.95,73.851,109.982
2025-07-25T07:34:29.324891,huobi,176.9393,176.9743,3.0,5.527
2025-07-25T07:34:29.425219,huobi,176.9516,176.9742,1.563,3.68
2025-07-25T07:34:29.524693,huobi,176.9516,176.9579,1.563,5.676
2025-07-25T07:34:29.624072,huobi,176.9393,176.9579,3.0,5.676
2025-07-25T07:34:29.733613,huobi,176.9393,176.9394,3.0,1.578
2025-07-25T07:34:29.829559,huobi,176.9062,176.9179,1.5,1.575
2025-07-25T07:34:29.931371,huobi,176.9062,176.9063,1.5,5.13
2025-07-25T07:34:30.026760,huobi,176.9062,176.9144,1.5,3.68
2025-07-25T07:34:30.126830,huobi,176.9062,176.9063,1.5,1.597
2025-07-25T07:34:30.226091,bitrue,176.87,176.92,41.603,126.561
2025-07-25T07:34:30.626416,huobi,176.9062,176.9394,1.5,5.13
2025-07-25T07:34:30.925668,huobi,176.9062,176.9063,1.5,1.575
2025-07-25T07:34:31.278577,bitrue,176.84,176.88,103.234,133.337
2025-07-25T07:34:31.728357,huobi,176.9062,176.9239,1.5,5.527
2025-07-25T07:34:31.929221,huobi,176.9062,176.9238,1.5,5.566
2025-07-25T07:34:32.028925,huobi,176.9062,176.9145,1.5,1.503
2025-07-25T07:34:32.126481,huobi,176.9063,176.965,5.13,0.169
2025-07-25T07:34:32.229467,huobi,176.9063,176.9649,5.13,3.68
2025-07-25T07:34:32.324462,bitrue,176.84,176.88,103.234,133.337
2025-07-25T07:34:32.330240,huobi,176.9062,176.9343,1.5,1.56
2025-07-25T07:34:32.424632,huobi,176.9062,176.9343,1.5,6.69
2025-07-25T07:34:32.526412,huobi,176.9062,176.9118,1.5,1.531
2025-07-25T07:34:32.625108,huobi,176.9062,176.9063,1.5,1.476
2025-07-25T07:34:33.048627,huobi,176.9062,176.9063,1.5,6.606
2025-07-25T07:34:33.129252,huobi,176.9062,176.9063,1.5,1.476
2025-07-25T07:34:33.377814,bitrue,176.85,176.89,62.554,100.838
2025-07-25T07:35:17.425151,huobi,176.9062,176.9063,1.5,6.606
2025-07-25T07:35:17.425393,huobi,176.9062,176.9063,1.5,10.286
2025-07-25T07:35:17.425506,huobi,176.8755,176.8784,3.0,1.563
2025-07-25T07:35:17.425640,huobi,176.8755,176.8784,3.0,6.693
2025-07-25T07:35:17.425715,huobi,176.8755,176.8756,3.0,6.72
2025-07-25T07:35:17.426061,huobi,176.8755,176.8756,3.0,1.59
2025-07-25T07:35:17.429281,bitrue,176.82,176.85,38.615,132.077
2025-07-25T07:35:17.429499,bitrue,176.82,176.85,38.615,132.077
2025-07-25T07:35:17.429573,bitrue,176.8,176.85,100.857,132.077
2025-07-25T07:35:17.429712,bitrue,176.83,176.86,99.696,71.363
2025-07-25T07:35:17.429843,bitrue,176.87,176.9,107.319,102.994
2025-07-25T07:35:17.430049,bitrue,176.87,176.92,107.319,121.493
2025-07-25T07:35:17.430096,bitrue,176.83,176.89,99.696,123.525
2025-07-25T07:35:17.430200,bitrue,176.86,176.9,121.576,135.234
2025-07-25T07:35:17.430249,bitrue,176.89,176.92,101.629,98.705
2025-07-25T07:35:17.430352,bitrue,176.86,176.9,95.528,131.982
2025-07-25T07:35:17.430404,bitrue,176.86,176.9,95.528,131.982
2025-07-25T07:35:17.430482,bitrue,176.86,176.9,95.528,131.982
2025-07-25T07:35:17.430534,bitrue,176.85,176.9,92.03,131.982
2025-07-25T07:35:17.430635,bitrue,176.8,176.83,100.857,133.208
2025-07-25T07:35:17.450650,bitrue,176.79,176.83,31.487,133.208
2025-07-25T07:35:17.450762,bitrue,176.79,176.83,31.487,133.208
2025-07-25T07:35:17.450872,bitrue,176.78,176.83,50.321,133.208
2025-07-25T07:35:17.450896,bitrue,176.77,176.8,33.483,120.052
2025-07-25T07:35:17.450964,bitrue,176.75,176.79,98.251,124.427
2025-07-25T07:35:17.451023,bitrue,176.73,176.79,27.857,124.427
2025-07-25T07:35:17.451121,bitrue,176.76,176.8,128.558,120.052
2025-07-25T07:35:17.451318,bitrue,176.8,176.86,116.04,98.136
2025-07-25T07:35:17.451391,bitrue,176.76,176.8,128.558,109.44
2025-07-25T07:35:17.451467,bitrue,176.82,176.87,95.966,115.54
2025-07-25T07:35:17.451541,bitrue,176.78,176.82,92.729,112.809
2025-07-25T07:35:17.451657,bitrue,176.71,176.75,33.821,100.813
2025-07-25T07:35:17.451797,bitrue,176.71,176.75,33.821,100.813
2025-07-25T07:35:17.451891,bitrue,176.68,176.72,16.74,119.107
2025-07-25T07:35:17.467731,bitrue,176.71,176.75,120.239,100.813
2025-07-25T07:35:17.467834,bitrue,176.57,176.6,76.861,129.922
2025-07-25T07:35:17.467944,bitrue,176.55,176.6,120.891,129.922
2025-07-25T07:35:17.468016,bitrue,176.66,176.69,119.64,121.674
2025-07-25T07:35:17.468134,bitrue,176.62,176.67,130.889,124.523
2025-07-25T07:35:17.468225,bitrue,176.69,176.73,131.846,131.546
2025-07-25T07:35:17.468325,bitrue,176.69,176.74,131.846,128.163
2025-07-25T07:35:17.468433,bitrue,176.67,176.7,90.658,120.217
2025-07-25T07:35:17.487586,huobi,176.8323,176.9063,5.13,5.13
2025-07-25T07:35:17.487680,huobi,176.8427,176.919,5.13,3.68
