2025-07-24 06:24:56,344 | INFO | [krakenfutures] ✅ krakenfutures WebSocket 已连接 → wss://futures.kraken.com/ws/v1
2025-07-24 06:24:56,344 | INFO | [krakenfutures] WebSocket 已连接
2025-07-24 06:24:56,345 | INFO | [krakenfutures] 📨 Kraken Futures 已订阅: ['PI_XBTUSD', 'PI_ETHUSD', 'PI_SOLUSD', 'PI_XRPUSD', 'PI_LTCUSD']
2025-07-24 06:24:56,364 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'info', 'version': 1}
2025-07-24 06:24:56,364 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:24:56,783 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'subscribed', 'feed': 'ticker', 'product_ids': ['PI_XBTUSD']}
2025-07-24 06:24:56,783 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'subscribed', 'feed': 'ticker', 'product_ids': ['PI_ETHUSD']}
2025-07-24 06:24:56,783 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'subscribed', 'feed': 'ticker', 'product_ids': ['PI_SOLUSD']}
2025-07-24 06:24:56,783 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'subscribed', 'feed': 'ticker', 'product_ids': ['PI_XRPUSD']}
2025-07-24 06:24:56,784 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'subscribed', 'feed': 'ticker', 'product_ids': ['PI_LTCUSD']}
2025-07-24 06:24:56,784 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'subscribed', 'feed': 'heartbeat'}
2025-07-24 06:24:59,855 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338299831}
2025-07-24 06:25:06,365 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:25:06,532 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:25:09,855 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338309831}
2025-07-24 06:25:16,365 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:25:16,533 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:25:19,855 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338319831}
2025-07-24 06:25:26,366 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:25:26,534 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:25:29,854 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338329831}
2025-07-24 06:25:36,367 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:25:36,535 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:25:39,854 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338339831}
2025-07-24 06:25:46,368 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:25:46,536 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:25:49,855 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338349831}
2025-07-24 06:25:56,369 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:25:56,538 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:25:59,855 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338359831}
2025-07-24 06:26:06,370 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:26:06,537 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:26:09,854 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338369831}
2025-07-24 06:26:16,370 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:26:16,537 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:26:19,856 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338379831}
2025-07-24 06:26:26,371 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:26:26,539 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:26:29,855 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338389831}
2025-07-24 06:26:36,372 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:26:36,539 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:26:39,856 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338399831}
